INFO:root:[TURN 0] [WORKER u_1 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 101] [WORKER u_10 at (13, 9)] [ACTION move] [VALUE 0.005311388969421388] at (7, 9) (rule_resource_value)
INFO:root:[TURN 101] [WORKER u_17 at (7, 8)] [ACTION move] [VALUE 0.012225597500801088] at (7, 5) (rule_resource_value)
INFO:root:[TURN 101] [WORKER u_20 at (11, 4)] [ACTION move] [VALUE 0.005311388969421388] at (6, 5) (rule_resource_value)
INFO:root:[TURN 101] [WORKER u_21 at (10, 5)] [ACTION move] [VALUE 0.0021381537616252905] at (5, 5) (rule_resource_value)
INFO:root:[TURN 101] [WORKER u_22 at (14, 10)] [ACTION move] [VALUE 0.0035595703125000005] at (6, 10) (rule_resource_value)
INFO:root:[TURN 102] [WORKER u_5 at (8, 4)] [ACTION build] [VALUE 0.1165] at (15, 10) (rule_build)
INFO:root:[TURN 102] [WORKER u_11 at (10, 4)] [ACTION move] [VALUE 0.010258178710937501] at (7, 5) (rule_resource_value)
INFO:root:[TURN 102] [WORKER u_8 at (14, 6)] [ACTION move] [VALUE 0.00474609375] at (7, 5) (rule_resource_value)
INFO:root:[TURN 102] [WORKER u_16 at (8, 5)] [ACTION build] [VALUE 0.1] at (15, 4) (rule_build)
INFO:root:[TURN 102] [WORKER u_19 at (8, 8)] [ACTION build] [VALUE 0.1] at (13, 7) (rule_build)
INFO:root:[TURN 102] [WORKER u_21 at (10, 5)] [ACTION move] [VALUE 0.0076936340332031256] at (6, 5) (rule_resource_value)
INFO:root:[TURN 102] [WORKER u_23 at (15, 9)] [ACTION move] [VALUE 0.0038363593816757207] at (7, 10) (rule_resource_value)
INFO:root:[TURN 103] [WORKER u_3 at (6, 4)] [ACTION build] [VALUE 0.1] at (15, 4) (rule_build)
INFO:root:[TURN 103] [WORKER u_2 at (9, 10)] [ACTION move] [VALUE 0.014483928680419922] at (7, 10) (rule_resource_value)
INFO:root:[TURN 103] [WORKER u_5 at (8, 4)] [ACTION build] [VALUE 0.1165] at (15, 10) (rule_build)
INFO:root:[TURN 103] [WORKER u_11 at (10, 4)] [ACTION move] [VALUE 0.010258178710937501] at (7, 5) (rule_resource_value)
INFO:root:[TURN 103] [WORKER u_16 at (8, 5)] [ACTION build] [VALUE 0.05] at (13, 5) (rule_build)
INFO:root:[TURN 103] [WORKER u_10 at (12, 9)] [ACTION move] [VALUE 0.006414461284875871] at (7, 9) (rule_resource_value)
INFO:root:[TURN 103] [WORKER u_17 at (7, 7)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 103] [WORKER u_20 at (11, 5)] [ACTION move] [VALUE 0.006414461284875871] at (6, 5) (rule_resource_value)
INFO:root:[TURN 103] [WORKER u_21 at (10, 5)] [ACTION move] [VALUE 0.0021381537616252905] at (5, 5) (rule_resource_value)
INFO:root:[TURN 103] [WORKER u_22 at (13, 10)] [ACTION move] [VALUE 0.004365574568510056] at (6, 10) (rule_resource_value)
INFO:root:[TURN 103] [WORKER u_23 at (14, 9)] [ACTION move] [VALUE 0.0035595703125000005] at (6, 9) (rule_resource_value)
INFO:root:[TURN 104] [WORKER u_5 at (8, 4)] [ACTION build] [VALUE 0.1165] at (15, 10) (rule_build)
INFO:root:[TURN 104] [WORKER u_11 at (10, 4)] [ACTION move] [VALUE 0.010258178710937501] at (7, 5) (rule_resource_value)
INFO:root:[TURN 104] [WORKER u_8 at (13, 6)] [ACTION move] [VALUE 0.005820766091346741] at (7, 5) (rule_resource_value)
INFO:root:[TURN 104] [WORKER u_16 at (8, 5)] [ACTION build] [VALUE 0.1] at (15, 4) (rule_build)
INFO:root:[TURN 104] [WORKER u_19 at (8, 7)] [ACTION build] [VALUE 0.1] at (13, 7) (rule_build)
INFO:root:[TURN 104] [WORKER u_21 at (10, 5)] [ACTION move] [VALUE 0.0076936340332031256] at (6, 5) (rule_resource_value)
INFO:root:[TURN 104] [WORKER u_23 at (13, 9)] [ACTION move] [VALUE 0.005820766091346741] at (7, 10) (rule_resource_value)
INFO:root:[TURN 105] [WORKER u_3 at (7, 4)] [ACTION build] [VALUE 0.1] at (15, 4) (rule_build)
INFO:root:[TURN 105] [WORKER u_2 at (8, 10)] [ACTION build] [VALUE 0.1165] at (15, 10) (rule_build)
INFO:root:[TURN 105] [WORKER u_11 at (10, 4)] [ACTION move] [VALUE 0.010258178710937501] at (7, 5) (rule_resource_value)
INFO:root:[TURN 105] [WORKER u_5 at (8, 4)] [ACTION build] [VALUE 0.1] at (13, 7) (rule_build)
INFO:root:[TURN 105] [WORKER u_16 at (8, 5)] [ACTION build] [VALUE 0.05] at (13, 5) (rule_build)
INFO:root:[TURN 105] [WORKER u_10 at (11, 9)] [ACTION move] [VALUE 0.008552615046501162] at (7, 10) (rule_resource_value)
INFO:root:[TURN 105] [WORKER u_17 at (7, 6)] [ACTION build] [VALUE 0.05] at (12, 8) (rule_build)
INFO:root:[TURN 105] [WORKER u_20 at (11, 4)] [ACTION move] [VALUE 0.008552615046501162] at (7, 5) (rule_resource_value)
INFO:root:[TURN 105] [WORKER u_21 at (10, 5)] [ACTION move] [VALUE 0.0076936340332031256] at (6, 5) (rule_resource_value)
INFO:root:[TURN 105] [WORKER u_22 at (12, 10)] [ACTION move] [VALUE 0.005311388969421388] at (6, 10) (rule_resource_value)
INFO:root:[TURN 106] [WORKER u_5 at (8, 4)] [ACTION build] [VALUE 0.1165] at (15, 10) (rule_build)
INFO:root:[TURN 106] [WORKER u_11 at (10, 4)] [ACTION move] [VALUE 0.010258178710937501] at (7, 5) (rule_resource_value)
INFO:root:[TURN 106] [WORKER u_8 at (13, 5)] [ACTION move] [VALUE 0.007081851959228516] at (7, 5) (rule_resource_value)
INFO:root:[TURN 106] [WORKER u_16 at (8, 5)] [ACTION build] [VALUE 0.1] at (15, 4) (rule_build)
INFO:root:[TURN 106] [WORKER u_19 at (9, 7)] [ACTION build] [VALUE 0.1] at (13, 7) (rule_build)
INFO:root:[TURN 106] [WORKER u_21 at (10, 5)] [ACTION move] [VALUE 0.0076936340332031256] at (6, 5) (rule_resource_value)
INFO:root:[TURN 106] [WORKER u_23 at (12, 9)] [ACTION move] [VALUE 0.007081851959228516] at (7, 10) (rule_resource_value)
INFO:root:[TURN 107] [WORKER u_3 at (6, 4)] [ACTION build] [VALUE 0.1] at (15, 4) (rule_build)
INFO:root:[TURN 107] [WORKER u_2 at (9, 10)] [ACTION build] [VALUE 0.1165] at (15, 10) (rule_build)
INFO:root:[TURN 107] [WORKER u_5 at (8, 4)] [ACTION build] [VALUE 0.1] at (13, 7) (rule_build)
INFO:root:[TURN 107] [WORKER u_11 at (10, 4)] [ACTION move] [VALUE 0.010258178710937501] at (7, 5) (rule_resource_value)
INFO:root:[TURN 107] [WORKER u_16 at (8, 5)] [ACTION build] [VALUE 0.05] at (13, 5) (rule_build)
INFO:root:[TURN 107] [WORKER u_10 at (10, 9)] [ACTION move] [VALUE 0.010258178710937501] at (7, 10) (rule_resource_value)
INFO:root:[TURN 107] [WORKER u_17 at (8, 6)] [ACTION build] [VALUE 0.05] at (12, 8) (rule_build)
INFO:root:[TURN 107] [WORKER u_20 at (11, 5)] [ACTION move] [VALUE 0.010258178710937501] at (7, 5) (rule_resource_value)
INFO:root:[TURN 107] [WORKER u_21 at (10, 5)] [ACTION move] [VALUE 0.0076936340332031256] at (6, 5) (rule_resource_value)
INFO:root:[TURN 107] [WORKER u_22 at (11, 10)] [ACTION move] [VALUE 0.006414461284875871] at (6, 10) (rule_resource_value)
INFO:root:[TURN 108] [WORKER u_2 at (9, 10)] [ACTION build] [VALUE 0.1165] at (15, 10) (rule_build)
INFO:root:[TURN 108] [WORKER u_11 at (10, 4)] [ACTION move] [VALUE 0.010258178710937501] at (7, 5) (rule_resource_value)
INFO:root:[TURN 108] [WORKER u_5 at (8, 4)] [ACTION build] [VALUE 0.1] at (13, 7) (rule_build)
INFO:root:[TURN 108] [WORKER u_16 at (8, 5)] [ACTION build] [VALUE 0.1] at (15, 4) (rule_build)
INFO:root:[TURN 108] [WORKER u_8 at (12, 5)] [ACTION move] [VALUE 0.008552615046501162] at (7, 5) (rule_resource_value)
INFO:root:[TURN 108] [WORKER u_19 at (10, 7)] [ACTION build] [VALUE 0.05] at (12, 8) (rule_build)
INFO:root:[TURN 108] [WORKER u_21 at (10, 5)] [ACTION move] [VALUE 0.0076936340332031256] at (6, 5) (rule_resource_value)
INFO:root:[TURN 108] [WORKER u_22 at (11, 10)] [ACTION move] [VALUE 0.010258178710937501] at (7, 10) (rule_resource_value)
INFO:root:[TURN 108] [WORKER u_23 at (11, 9)] [ACTION move] [VALUE 0.0076936340332031256] at (7, 9) (rule_resource_value)
INFO:root:[TURN 109] [WORKER u_3 at (7, 4)] [ACTION build] [VALUE 0.1] at (15, 4) (rule_build)
INFO:root:[TURN 109] [WORKER u_2 at (9, 10)] [ACTION build] [VALUE 0.1165] at (15, 10) (rule_build)
INFO:root:[TURN 109] [WORKER u_11 at (10, 4)] [ACTION move] [VALUE 0.010258178710937501] at (7, 5) (rule_resource_value)
INFO:root:[TURN 109] [WORKER u_5 at (8, 4)] [ACTION build] [VALUE 0.1] at (13, 7) (rule_build)
INFO:root:[TURN 109] [WORKER u_16 at (8, 5)] [ACTION build] [VALUE 0.05] at (13, 5) (rule_build)
INFO:root:[TURN 109] [WORKER u_10 at (9, 9)] [ACTION move] [VALUE 0.012225597500801088] at (7, 10) (rule_resource_value)
INFO:root:[TURN 109] [WORKER u_17 at (9, 6)] [ACTION build] [VALUE 0.05] at (12, 8) (rule_build)
INFO:root:[TURN 109] [WORKER u_20 at (11, 4)] [ACTION move] [VALUE 0.008552615046501162] at (7, 5) (rule_resource_value)
INFO:root:[TURN 109] [WORKER u_21 at (10, 5)] [ACTION move] [VALUE 0.0076936340332031256] at (6, 5) (rule_resource_value)
INFO:root:[TURN 109] [WORKER u_22 at (11, 10)] [ACTION move] [VALUE 0.006414461284875871] at (6, 10) (rule_resource_value)
INFO:root:[TURN 110] [WORKER u_2 at (9, 10)] [ACTION build] [VALUE 0.1165] at (15, 10) (rule_build)
INFO:root:[TURN 110] [WORKER u_11 at (10, 4)] [ACTION move] [VALUE 0.010258178710937501] at (7, 5) (rule_resource_value)
INFO:root:[TURN 110] [WORKER u_5 at (8, 4)] [ACTION build] [VALUE 0.1] at (13, 7) (rule_build)
INFO:root:[TURN 110] [WORKER u_16 at (8, 5)] [ACTION build] [VALUE 0.1] at (15, 4) (rule_build)
INFO:root:[TURN 110] [WORKER u_8 at (11, 5)] [ACTION move] [VALUE 0.010258178710937501] at (7, 5) (rule_resource_value)
INFO:root:[TURN 110] [WORKER u_19 at (11, 7)] [ACTION build] [VALUE 0.05] at (12, 8) (rule_build)
INFO:root:[TURN 110] [WORKER u_21 at (10, 5)] [ACTION move] [VALUE 0.0076936340332031256] at (6, 5) (rule_resource_value)
INFO:root:[TURN 110] [WORKER u_22 at (11, 10)] [ACTION move] [VALUE 0.010258178710937501] at (7, 10) (rule_resource_value)
INFO:root:[TURN 110] [WORKER u_23 at (10, 9)] [ACTION move] [VALUE 0.009169198125600816] at (7, 9) (rule_resource_value)
INFO:root:[TURN 111] [WORKER u_3 at (6, 4)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 111] [WORKER u_2 at (9, 10)] [ACTION move] [VALUE 0.014483928680419922] at (7, 10) (rule_resource_value)
INFO:root:[TURN 111] [WORKER u_16 at (8, 5)] [ACTION move] [VALUE 0.010862946510314943] at (6, 5) (rule_resource_value)
INFO:root:[TURN 111] [WORKER u_5 at (8, 4)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 111] [WORKER u_10 at (8, 9)] [ACTION move] [VALUE 0.012798227816820147] at (7, 9) (rule_resource_value)
INFO:root:[TURN 111] [WORKER u_17 at (10, 6)] [ACTION move] [VALUE 0.0076936340332031256] at (6, 6) (rule_resource_value)
INFO:root:[TURN 112] [WORKER u_3 at (6, 4)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 112] [WORKER u_5 at (8, 4)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 112] [WORKER u_24 at (15, 9)] [ACTION move] [VALUE 0.004266075938940048] at (15, 10) (rule_resource_value)
INFO:root:[TURN 113] [WORKER u_3 at (6, 4)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 113] [WORKER u_5 at (8, 4)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 113] [WORKER u_25 at (15, 8)] [ACTION move] [VALUE 0.0036209821701049805] at (15, 10) (rule_resource_value)
INFO:root:[TURN 113] [WORKER u_26 at (14, 7)] [ACTION move] [VALUE 0.0028772695362567907] at (6, 6) (rule_resource_value)
INFO:root:[TURN 113] [WORKER u_27 at (13, 9)] [ACTION move] [VALUE 0.005820766091346741] at (7, 10) (rule_resource_value)
INFO:root:[TURN 114] [WORKER u_3 at (6, 4)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 114] [WORKER u_5 at (8, 4)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 114] [WORKER u_19 at (12, 7)] [ACTION move] [VALUE 0.004365574568510056] at (6, 6) (rule_resource_value)
INFO:root:[TURN 114] [WORKER u_25 at (15, 9)] [ACTION move] [VALUE 0.004266075938940048] at (15, 10) (rule_resource_value)
INFO:root:[TURN 115] [WORKER u_2 at (8, 10)] [ACTION move] [VALUE 0.017064303755760193] at (7, 10) (rule_resource_value)
INFO:root:[TURN 115] [WORKER u_3 at (6, 4)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 115] [WORKER u_16 at (7, 5)] [ACTION move] [VALUE 0.012798227816820147] at (6, 5) (rule_resource_value)
INFO:root:[TURN 115] [WORKER u_5 at (8, 4)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 115] [WORKER u_10 at (7, 9)] [ACTION move] [VALUE 0.015000000000000003] at (7, 9) (rule_resource_value)
INFO:root:[TURN 115] [WORKER u_28 at (15, 5)] [ACTION move] [VALUE 0.000767951011657715] at (5, 5) (rule_resource_value)
INFO:root:[TURN 115] [WORKER u_17 at (9, 6)] [ACTION move] [VALUE 0.009169198125600816] at (6, 6) (rule_resource_value)
INFO:root:[TURN 115] [WORKER u_25 at (15, 9)] [ACTION move] [VALUE 0.004266075938940048] at (15, 10) (rule_resource_value)
INFO:root:[TURN 116] [WORKER u_3 at (6, 4)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 116] [WORKER u_5 at (8, 4)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 116] [WORKER u_24 at (15, 10)] [ACTION move] [VALUE 0.005000000000000001] at (15, 10) (rule_resource_value)
INFO:root:[TURN 116] [WORKER u_28 at (14, 5)] [ACTION move] [VALUE 0.0035595703125000005] at (6, 5) (rule_resource_value)
INFO:root:[TURN 116] [WORKER u_25 at (15, 9)] [ACTION move] [VALUE 0.0038363593816757207] at (7, 10) (rule_resource_value)
INFO:root:[TURN 117] [WORKER u_5 at (8, 4)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 117] [WORKER u_3 at (6, 4)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 117] [WORKER u_24 at (14, 10)] [ACTION move] [VALUE 0.005820766091346741] at (7, 10) (rule_resource_value)
INFO:root:[TURN 117] [WORKER u_25 at (14, 9)] [ACTION move] [VALUE 0.004365574568510056] at (7, 9) (rule_resource_value)
INFO:root:[TURN 117] [WORKER u_29 at (14, 11)] [ACTION move] [VALUE 0.005000000000000001] at (14, 11) (rule_resource_value)
INFO:root:[TURN 118] [WORKER u_5 at (8, 4)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 118] [WORKER u_3 at (6, 4)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 118] [WORKER u_19 at (12, 6)] [ACTION move] [VALUE 0.005311388969421388] at (6, 6) (rule_resource_value)
INFO:root:[TURN 118] [WORKER u_30 at (14, 4)] [ACTION move] [VALUE 0.0028772695362567907] at (6, 5) (rule_resource_value)
INFO:root:[TURN 118] [WORKER u_25 at (13, 9)] [ACTION move] [VALUE 0.005820766091346741] at (7, 10) (rule_resource_value)
INFO:root:[TURN 118] [WORKER u_31 at (14, 9)] [ACTION move] [VALUE 0.004365574568510056] at (7, 9) (rule_resource_value)
INFO:root:[TURN 119] [WORKER u_3 at (6, 4)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 119] [WORKER u_2 at (7, 10)] [ACTION move] [VALUE 0.020000000000000004] at (7, 10) (rule_resource_value)
INFO:root:[TURN 119] [WORKER u_16 at (6, 5)] [ACTION move] [VALUE 0.015000000000000003] at (6, 5) (rule_resource_value)
INFO:root:[TURN 119] [WORKER u_5 at (8, 4)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 119] [WORKER u_10 at (7, 8)] [ACTION move] [VALUE 0.012798227816820147] at (7, 9) (rule_resource_value)
INFO:root:[TURN 119] [WORKER u_17 at (8, 6)] [ACTION move] [VALUE 0.010862946510314943] at (6, 6) (rule_resource_value)
INFO:root:[TURN 119] [WORKER u_31 at (14, 8)] [ACTION move] [VALUE 0.0028772695362567907] at (6, 9) (rule_resource_value)
INFO:root:[TURN 119] [WORKER u_32 at (14, 8)] [ACTION move] [VALUE 0.0018257354199886326] at (6, 5) (rule_resource_value)
INFO:root:[TURN 120] [WORKER u_3 at (6, 4)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 120] [WORKER u_2 at (7, 10)] [ACTION move] [VALUE 0.020000000000000004] at (7, 10) (rule_resource_value)
INFO:root:[TURN 120] [WORKER u_5 at (8, 4)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 120] [WORKER u_10 at (7, 8)] [ACTION move] [VALUE 0.012798227816820147] at (7, 9) (rule_resource_value)
INFO:root:[TURN 120] [WORKER u_31 at (13, 8)] [ACTION move] [VALUE 0.0035595703125000005] at (6, 9) (rule_resource_value)
INFO:root:[TURN 120] [WORKER u_32 at (14, 7)] [ACTION move] [VALUE 0.0028772695362567907] at (6, 6) (rule_resource_value)
INFO:root:[TURN 120] [WORKER u_33 at (15, 7)] [ACTION move] [VALUE 0.0018257354199886326] at (6, 5) (rule_resource_value)
INFO:root:[TURN 120] [WORKER u_34 at (13, 8)] [ACTION move] [VALUE 0.0009590898454189302] at (5, 9) (rule_resource_value)
INFO:root:[TURN 121] [WORKER u_2 at (7, 10)] [ACTION build] [VALUE 0.1165] at (15, 10) (rule_build)
INFO:root:[TURN 121] [WORKER u_3 at (6, 4)] [ACTION build] [VALUE 0.1] at (15, 4) (rule_build)
INFO:root:[TURN 121] [WORKER u_5 at (8, 4)] [ACTION build] [VALUE 0.1] at (13, 7) (rule_build)
INFO:root:[TURN 121] [WORKER u_35 at (14, 5)] [ACTION move] [VALUE 0.005820766091346741] at (7, 5) (rule_resource_value)
INFO:root:[TURN 121] [WORKER u_10 at (7, 8)] [ACTION build] [VALUE 0.05] at (12, 8) (rule_build)
INFO:root:[TURN 121] [WORKER u_29 at (15, 11)] [ACTION move] [VALUE 0.005000000000000001] at (15, 11) (rule_resource_value)
INFO:root:[TURN 121] [WORKER u_31 at (13, 8)] [ACTION move] [VALUE 0.00474609375] at (7, 10) (rule_resource_value)
INFO:root:[TURN 121] [WORKER u_34 at (13, 8)] [ACTION move] [VALUE 0.004365574568510056] at (7, 9) (rule_resource_value)
INFO:root:[TURN 122] [WORKER u_19 at (11, 6)] [ACTION move] [VALUE 0.008552615046501162] at (7, 5) (rule_resource_value)
INFO:root:[TURN 122] [WORKER u_31 at (13, 8)] [ACTION move] [VALUE 0.00474609375] at (7, 10) (rule_resource_value)
INFO:root:[TURN 122] [WORKER u_32 at (14, 6)] [ACTION move] [VALUE 0.0035595703125000005] at (6, 6) (rule_resource_value)
INFO:root:[TURN 122] [WORKER u_33 at (15, 6)] [ACTION move] [VALUE 0.0023038530349731453] at (6, 5) (rule_resource_value)
INFO:root:[TURN 122] [WORKER u_34 at (13, 8)] [ACTION move] [VALUE 0.004365574568510056] at (7, 9) (rule_resource_value)
INFO:root:[TURN 123] [WORKER u_3 at (7, 4)] [ACTION build] [VALUE 0.1] at (15, 4) (rule_build)
INFO:root:[TURN 123] [WORKER u_2 at (8, 10)] [ACTION build] [VALUE 0.1165] at (15, 10) (rule_build)
INFO:root:[TURN 123] [WORKER u_16 at (7, 5)] [ACTION build] [VALUE 0.05] at (13, 5) (rule_build)
INFO:root:[TURN 123] [WORKER u_5 at (9, 4)] [ACTION build] [VALUE 0.1] at (13, 7) (rule_build)
INFO:root:[TURN 123] [WORKER u_35 at (13, 5)] [ACTION move] [VALUE 0.007081851959228516] at (7, 5) (rule_resource_value)
INFO:root:[TURN 123] [WORKER u_10 at (8, 8)] [ACTION build] [VALUE 0.05] at (12, 8) (rule_build)
INFO:root:[TURN 123] [WORKER u_17 at (7, 6)] [ACTION build] [VALUE 0.033] at (8, 6) (rule_build)
INFO:root:[TURN 123] [WORKER u_29 at (15, 10)] [ACTION build] [VALUE 0.1] at (13, 10) (rule_build)
INFO:root:[TURN 123] [WORKER u_31 at (13, 8)] [ACTION move] [VALUE 0.00474609375] at (7, 10) (rule_resource_value)
INFO:root:[TURN 123] [WORKER u_33 at (15, 7)] [ACTION move] [VALUE 0.00307180404663086] at (7, 5) (rule_resource_value)
INFO:root:[TURN 123] [WORKER u_34 at (13, 8)] [ACTION move] [VALUE 0.004365574568510056] at (7, 9) (rule_resource_value)
INFO:root:[TURN 124] [WORKER u_19 at (11, 5)] [ACTION move] [VALUE 0.010258178710937501] at (7, 5) (rule_resource_value)
INFO:root:[TURN 124] [WORKER u_29 at (14, 10)] [ACTION move] [VALUE 0.005820766091346741] at (7, 10) (rule_resource_value)
INFO:root:[TURN 124] [WORKER u_31 at (13, 8)] [ACTION move] [VALUE 0.004365574568510056] at (7, 9) (rule_resource_value)
INFO:root:[TURN 124] [WORKER u_32 at (13, 6)] [ACTION move] [VALUE 0.004365574568510056] at (6, 6) (rule_resource_value)
INFO:root:[TURN 124] [WORKER u_34 at (13, 8)] [ACTION move] [VALUE 0.0035595703125000005] at (6, 9) (rule_resource_value)
INFO:root:[TURN 125] [WORKER u_3 at (8, 4)] [ACTION build] [VALUE 0.1] at (15, 4) (rule_build)
INFO:root:[TURN 125] [WORKER u_2 at (9, 10)] [ACTION build] [VALUE 0.1165] at (15, 10) (rule_build)
INFO:root:[TURN 125] [WORKER u_5 at (10, 4)] [ACTION build] [VALUE 0.1] at (13, 7) (rule_build)
INFO:root:[TURN 125] [WORKER u_16 at (8, 5)] [ACTION build] [VALUE 0.05] at (13, 5) (rule_build)
INFO:root:[TURN 125] [WORKER u_10 at (9, 8)] [ACTION build] [VALUE 0.05] at (12, 8) (rule_build)
INFO:root:[TURN 125] [WORKER u_35 at (12, 5)] [ACTION move] [VALUE 0.008552615046501162] at (7, 5) (rule_resource_value)
INFO:root:[TURN 125] [WORKER u_17 at (8, 6)] [ACTION build] [VALUE 0.033] at (8, 6) (rule_build)
INFO:root:Worker is attempting to build.
INFO:root:[TURN 125] [WORKER u_31 at (13, 8)] [ACTION move] [VALUE 0.00474609375] at (7, 10) (rule_resource_value)
INFO:root:[TURN 125] [WORKER u_33 at (15, 6)] [ACTION move] [VALUE 0.0038363593816757207] at (7, 5) (rule_resource_value)
INFO:root:[TURN 125] [WORKER u_34 at (13, 8)] [ACTION move] [VALUE 0.004365574568510056] at (7, 9) (rule_resource_value)
INFO:root:[TURN 126] [WORKER u_17 at (8, 6)] [ACTION move] [VALUE 0.014483928680419922] at (7, 5) (rule_resource_value)
INFO:root:[TURN 126] [WORKER u_19 at (10, 5)] [ACTION move] [VALUE 0.0076936340332031256] at (6, 5) (rule_resource_value)
INFO:root:[TURN 126] [WORKER u_29 at (13, 10)] [ACTION move] [VALUE 0.007081851959228516] at (7, 10) (rule_resource_value)
INFO:root:[TURN 126] [WORKER u_31 at (13, 8)] [ACTION move] [VALUE 0.004365574568510056] at (7, 9) (rule_resource_value)
INFO:root:[TURN 126] [WORKER u_32 at (12, 6)] [ACTION move] [VALUE 0.005311388969421388] at (6, 6) (rule_resource_value)
INFO:root:[TURN 126] [WORKER u_34 at (13, 8)] [ACTION move] [VALUE 0.0035595703125000005] at (6, 9) (rule_resource_value)
INFO:root:[TURN 127] [WORKER u_2 at (10, 10)] [ACTION build] [VALUE 0.1165] at (15, 10) (rule_build)
INFO:root:[TURN 127] [WORKER u_3 at (9, 4)] [ACTION build] [VALUE 0.1] at (15, 4) (rule_build)
INFO:root:[TURN 127] [WORKER u_5 at (11, 4)] [ACTION build] [VALUE 0.1] at (13, 7) (rule_build)
INFO:root:[TURN 127] [WORKER u_16 at (9, 5)] [ACTION build] [VALUE 0.05] at (13, 5) (rule_build)
INFO:root:[TURN 127] [WORKER u_10 at (10, 8)] [ACTION build] [VALUE 0.05] at (12, 8) (rule_build)
INFO:root:[TURN 127] [WORKER u_35 at (11, 5)] [ACTION move] [VALUE 0.010258178710937501] at (7, 5) (rule_resource_value)
INFO:root:[TURN 127] [WORKER u_31 at (13, 8)] [ACTION move] [VALUE 0.00474609375] at (7, 10) (rule_resource_value)
INFO:root:[TURN 127] [WORKER u_33 at (14, 6)] [ACTION move] [VALUE 0.00474609375] at (7, 5) (rule_resource_value)
INFO:root:[TURN 127] [WORKER u_34 at (13, 8)] [ACTION move] [VALUE 0.004365574568510056] at (7, 9) (rule_resource_value)
INFO:root:[TURN 127] [WORKER u_36 at (14, 11)] [ACTION move] [VALUE 0.005000000000000001] at (14, 11) (rule_resource_value)
INFO:root:[TURN 128] [WORKER u_17 at (8, 5)] [ACTION move] [VALUE 0.017064303755760193] at (7, 5) (rule_resource_value)
INFO:root:[TURN 128] [WORKER u_16 at (9, 5)] [ACTION build] [VALUE 0.1] at (15, 4) (rule_build)
INFO:root:[TURN 128] [WORKER u_19 at (10, 4)] [ACTION move] [VALUE 0.006414461284875871] at (6, 5) (rule_resource_value)
INFO:root:[TURN 128] [WORKER u_35 at (11, 5)] [ACTION move] [VALUE 0.010258178710937501] at (7, 5) (rule_resource_value)
INFO:root:[TURN 128] [WORKER u_29 at (12, 10)] [ACTION move] [VALUE 0.008552615046501162] at (7, 10) (rule_resource_value)
INFO:root:[TURN 128] [WORKER u_31 at (13, 8)] [ACTION move] [VALUE 0.004365574568510056] at (7, 9) (rule_resource_value)
INFO:root:[TURN 128] [WORKER u_32 at (11, 6)] [ACTION move] [VALUE 0.006414461284875871] at (6, 6) (rule_resource_value)
INFO:root:[TURN 128] [WORKER u_34 at (13, 8)] [ACTION move] [VALUE 0.0035595703125000005] at (6, 9) (rule_resource_value)
INFO:root:[TURN 128] [WORKER u_36 at (14, 10)] [ACTION move] [VALUE 0.0035595703125000005] at (6, 10) (rule_resource_value)
INFO:root:[TURN 129] [WORKER u_2 at (11, 10)] [ACTION build] [VALUE 0.1165] at (15, 10) (rule_build)
